planner,loss_probability,comparison,paired_maps,csr_difference,csr_std_difference,csr_ci95,csr_effect_dz,el_difference,el_ci95,traffic_kb_difference,traffic_kb_std_difference,traffic_kb_ci95
D* Lite,0.2,CARE - One-shot,100,+0.1350,0.1683,"[+0.1025, +0.1675]",+0.802,+0.00,"[+0.00, +0.00]",+5.46,1.23,"[+5.23, +5.71]"
D* Lite,0.2,CARE - Retry-All ARQ,100,-0.0150,0.0597,"[-0.0275, -0.0050]",-0.251,+0.00,"[+0.00, +0.00]",-77.08,2.36,"[-77.52, -76.60]"
D* Lite,0.2,CARE - Path-weighted ARQ,100,-0.0150,0.0597,"[-0.0275, -0.0050]",-0.251,+0.00,"[+0.00, +0.00]",-77.26,2.45,"[-77.73, -76.77]"
D* Lite,0.2,CARE - Periodic Full,100,-0.0100,0.0704,"[-0.0250, +0.0025]",-0.142,+0.00,"[+0.00, +0.00]",-243.72,0.81,"[-243.88, -243.56]"
D* Lite,0.2,CARE - Mismatch Full,100,+0.0225,0.1129,"[+0.0000, +0.0450]",+0.199,+0.00,"[+0.00, +0.00]",-495.36,26.38,"[-500.43, -490.18]"
D* Lite,0.2,CARE - PSR-UT,100,-0.0025,0.0753,"[-0.0175, +0.0125]",-0.033,+0.00,"[+0.00, +0.00]",-9.36,0.66,"[-9.49, -9.23]"
D* Lite,0.2,CARE - CARE-Lite,100,-0.0025,0.0561,"[-0.0125, +0.0075]",-0.045,+0.00,"[+0.00, +0.00]",-4.02,0.70,"[-4.15, -3.88]"
D* Lite,0.3,CARE - One-shot,100,+0.1575,0.1800,"[+0.1225, +0.1925]",+0.875,+0.00,"[+0.00, +0.00]",+5.47,1.10,"[+5.26, +5.69]"
D* Lite,0.3,CARE - Retry-All ARQ,100,-0.0350,0.1006,"[-0.0550, -0.0175]",-0.348,+0.00,"[+0.00, +0.00]",-101.75,3.59,"[-102.44, -101.03]"
D* Lite,0.3,CARE - Path-weighted ARQ,100,-0.0350,0.1006,"[-0.0550, -0.0175]",-0.348,+0.00,"[+0.00, +0.00]",-101.83,3.38,"[-102.48, -101.16]"
D* Lite,0.3,CARE - Periodic Full,100,-0.0100,0.1227,"[-0.0350, +0.0125]",-0.082,+0.00,"[+0.00, +0.00]",-243.52,1.18,"[-243.75, -243.28]"
D* Lite,0.3,CARE - Mismatch Full,100,+0.0375,0.1481,"[+0.0100, +0.0675]",+0.253,+0.00,"[+0.00, +0.00]",-434.54,22.13,"[-438.82, -430.21]"
D* Lite,0.3,CARE - PSR-UT,100,+0.0100,0.1119,"[-0.0125, +0.0325]",+0.089,+0.00,"[+0.00, +0.00]",-9.49,1.04,"[-9.69, -9.29]"
D* Lite,0.3,CARE - CARE-Lite,100,-0.0050,0.1004,"[-0.0250, +0.0150]",-0.050,+0.00,"[+0.00, +0.00]",-3.81,1.02,"[-4.01, -3.61]"
D* Lite,0.4,CARE - One-shot,100,+0.1750,0.1829,"[+0.1400, +0.2125]",+0.957,+0.00,"[+0.00, +0.00]",+5.34,1.27,"[+5.09, +5.59]"
D* Lite,0.4,CARE - Retry-All ARQ,100,-0.1100,0.1521,"[-0.1400, -0.0800]",-0.723,+0.00,"[+0.00, +0.00]",-137.23,5.18,"[-138.23, -136.20]"
D* Lite,0.4,CARE - Path-weighted ARQ,100,-0.1100,0.1521,"[-0.1400, -0.0800]",-0.723,+0.00,"[+0.00, +0.00]",-137.05,5.42,"[-138.07, -135.95]"
D* Lite,0.4,CARE - Periodic Full,100,-0.0425,0.1630,"[-0.0750, -0.0100]",-0.261,+0.00,"[+0.00, +0.00]",-243.22,1.36,"[-243.49, -242.96]"
D* Lite,0.4,CARE - Mismatch Full,100,+0.0200,0.1801,"[-0.0150, +0.0550]",+0.111,+0.00,"[+0.00, +0.00]",-362.10,22.89,"[-366.61, -357.66]"
D* Lite,0.4,CARE - PSR-UT,100,-0.0200,0.1536,"[-0.0500, +0.0100]",-0.130,+0.00,"[+0.00, +0.00]",-9.78,1.35,"[-10.05, -9.52]"
D* Lite,0.4,CARE - CARE-Lite,100,-0.0275,0.1700,"[-0.0600, +0.0050]",-0.162,+0.00,"[+0.00, +0.00]",-3.86,1.26,"[-4.11, -3.62]"
D* Lite,0.5,CARE - One-shot,100,+0.1750,0.1759,"[+0.1400, +0.2100]",+0.995,+0.00,"[+0.00, +0.00]",+5.14,1.32,"[+4.88, +5.40]"
D* Lite,0.5,CARE - Retry-All ARQ,100,-0.1475,0.1670,"[-0.1800, -0.1150]",-0.883,+0.00,"[+0.00, +0.00]",-189.24,6.95,"[-190.58, -187.87]"
D* Lite,0.5,CARE - Path-weighted ARQ,100,-0.1475,0.1670,"[-0.1800, -0.1150]",-0.883,+0.00,"[+0.00, +0.00]",-188.86,7.13,"[-190.24, -187.45]"
D* Lite,0.5,CARE - Periodic Full,100,-0.0600,0.1982,"[-0.1000, -0.0225]",-0.303,+0.00,"[+0.00, +0.00]",-243.11,1.46,"[-243.40, -242.83]"
D* Lite,0.5,CARE - Mismatch Full,100,+0.0525,0.1923,"[+0.0150, +0.0900]",+0.273,+0.00,"[+0.00, +0.00]",-280.83,21.97,"[-285.10, -276.54]"
D* Lite,0.5,CARE - PSR-UT,100,-0.0025,0.1794,"[-0.0375, +0.0325]",-0.014,+0.00,"[+0.00, +0.00]",-10.13,1.48,"[-10.42, -9.84]"
D* Lite,0.5,CARE - CARE-Lite,100,-0.0025,0.1722,"[-0.0350, +0.0300]",-0.015,+0.00,"[+0.00, +0.00]",-4.11,1.70,"[-4.44, -3.78]"
